,year,parent_name,cmpy,newid,Ucmpy,score,gvkey
0,1987,3M CO,3M,3,3M,1,7435
1,1987,3M CO INC,3M,3,3M,1,7435
2,1988,3M CO,3M,3,3M,1,7435
3,1988,3M CO INC,3M,3,3M,1,7435
4,1989,3M CO INC,3M,3,3M,1,7435
5,1989,3M CO,3M,3,3M,1,7435
6,1990,3M CO,3M,3,3M,1,7435
7,1990,3M CO INC,3M,3,3M,1,7435
8,1991,3M CO,3M,3,3M,1,7435
9,1991,3M CO INC,3M,3,3M,1,7435
10,1992,3M CO INC,3M,3,3M,1,7435
11,1992,3M CO,3M,3,3M,1,7435
12,1993,3M CO,3M,3,3M,1,7435
13,1993,3M CO INC,3M,3,3M,1,7435
14,1994,3M CO INC,3M,3,3M,1,7435
15,1994,3M CO,3M,3,3M,1,7435
16,1995,3M CO INC,3M,3,3M,1,7435
17,1995,3M CO,3M,3,3M,1,7435
18,1996,3M CO INC,3M,3,3M,1,7435
19,1996,3M CO,3M,3,3M,1,7435
20,1997,3M CO INC,3M,3,3M,1,7435
21,1997,3M CO,3M,3,3M,1,7435
22,1998,3M CO INC,3M,3,3M,1,7435
23,1998,3M CO,3M,3,3M,1,7435
24,1999,3M CO INC,3M,3,3M,1,7435
25,1999,3M CO,3M,3,3M,1,7435
26,2000,3M CO,3M,3,3M,1,7435
27,2000,3M CO INC,3M,3,3M,1,7435
28,2001,3M CO INC,3M,3,3M,1,7435
29,2001,3M CO,3M,3,3M,1,7435
30,2002,3M CO INC,3M,3,3M,1,7435
31,2002,3M CO,3M,3,3M,1,7435
32,2003,3M,3M,3,3M,1,7435
33,2003,3M CO INC,3M,3,3M,1,7435
34,2003,3M CO,3M,3,3M,1,7435
35,2004,3M CO,3M,3,3M,1,7435
36,2004,3M,3M,3,3M,1,7435
37,2004,3M CO INC,3M,3,3M,1,7435
38,2005,3M CO INC,3M,3,3M,1,7435
39,2005,3M CO,3M,3,3M,1,7435
40,2005,3M,3M,3,3M,1,7435
41,2006,3M,3M,3,3M,1,7435
42,2006,3M CO,3M,3,3M,1,7435
43,2007,3M,3M,3,3M,1,7435
44,2007,3M CO,3M,3,3M,1,7435
45,2008,3M,3M,3,3M,1,7435
46,2008,3M CO,3M,3,3M,1,7435
47,2009,3M CO,3M,3,3M,1,7435
48,2009,3M,3M,3,3M,1,7435
49,2010,3M CO,3M,3,3M,1,7435
50,2011,3M CO,3M,3,3M,1,7435
51,2012,3M CO,3M,3,3M,1,7435
52,2013,3M CO,3M,3,3M,1,7435
53,2014,3M CO,3M,3,3M,1,7435
54,1996,AAON INC,AAON,18,AAON,1,21542
55,1987,AAR CORP,AAR,19,AAR,1,1004
56,1988,AAR CORP,AAR,19,AAR,1,1004
57,1989,AAR CORP,AAR,19,AAR,1,1004
58,1990,AAR CORP,AAR,19,AAR,1,1004
59,1991,AAR CORP,AAR,19,AAR,1,1004
60,1992,AAR CORP,AAR,19,AAR,1,1004
61,1993,AAR CORP,AAR,19,AAR,1,1004
62,1994,AAR CORP,AAR,19,AAR,1,1004
63,1995,AAR CORP,AAR,19,AAR,1,1004
64,1996,AAR CORP,AAR,19,AAR,1,1004
65,1997,AAR CORP,AAR,19,AAR,1,1004
66,1998,AAR CORP,AAR,19,AAR,1,1004
67,1999,AAR CORP,AAR,19,AAR,1,1004
68,2000,AAR CORP,AAR,19,AAR,1,1004
69,2001,AAR CORP,AAR,19,AAR,1,1004
70,2002,AAR CORP,AAR,19,AAR,1,1004
71,2003,AAR CORP,AAR,19,AAR,1,1004
72,2004,AAR CORP,AAR,19,AAR,1,1004
73,2005,AAR CORP,AAR,19,AAR,1,1004
74,2006,AAR CORP,AAR,19,AAR,1,1004
75,2007,AAR CORP,AAR,19,AAR,1,1004
76,2008,AAR CORP,AAR,19,AAR,1,1004
77,2009,AAR CORP,AAR,19,AAR,1,1004
78,2010,AAR CORP,AAR,19,AAR,1,1004
79,2011,AAR CORP,AAR,19,AAR,1,1004
80,2012,AAR CORP,AAR,19,AAR,1,1004
81,2013,AAR CORP,AAR,19,AAR,1,1004
82,2014,AAR CORP,AAR,19,AAR,1,1004
83,1994,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
84,1995,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
85,1997,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
86,1998,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
87,1999,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
88,2000,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
89,2001,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
90,2002,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
91,2003,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
92,2004,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
93,2005,AAVID THERMAL TECHNOLOGIES INC,AAVIDTHERMALTECH,24,AAVIDTHERMALTECH,1,61922
94,1987,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
95,1987,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
96,1988,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
97,1988,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
98,1989,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
99,1989,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
100,1990,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
101,1990,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
102,1991,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
103,1991,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
104,1992,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
105,1992,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
106,1993,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
107,1993,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
108,1994,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
109,1994,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
110,1995,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
111,1995,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
112,1996,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
113,1996,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
114,1997,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
115,1997,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
116,1998,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
117,1998,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
118,1999,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
119,1999,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
120,2000,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
121,2000,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
122,2001,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
123,2001,ABBOTT LABS,ABBOTTLAB,27,ABBOTTLAB,1,1078
124,2002,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
125,2003,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
126,2004,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
127,2005,ABBOTT LABORATORIES,ABBOTTLAB,27,ABBOTTLAB,1,1078
